Card Type,City,Country,Customer ID,Customer Name,Date,Date (Week numbers),District,dynamic graph,Highlight,Merchant Catergory,Merchant ID,Merchant Name,Merchant Sub Category,Payment Mode,Payment Status,Payment Status - Failure ,Pin Code,Product,Select Chart,State,Week,ATS,Charge,commission,Failure%,Size,Success%,Tran,Transaction Amount,Transaction Count
Master,Patna,India,U-235,Ramadevi Adhaulia,27-04-2023,Week 17,Patna,Show Transaction Details,No Highlight,Contracted Services,700001,NS Services,"Air Conditioning, Heating and Plumbing Contractors",Credit Card,Success,FALSE,145678,Online,Week,Bihar,17,751.3333333,2,45.08,0,1,1,2.254,2254,3
Not Applicable,Nellore,India,U-236,Prahalad Verma,22-03-2023,Week 12,Nellore,Show Transaction Details,No Highlight,Contracted Services,700001,NS Services,"Air Conditioning, Heating and Plumbing Contractors",Wallet,Success,FALSE,789043,QR,Week,Andhra Pradesh,12,2166,2,43.32,0,1,1,2.166,2166,1
Not Applicable,Guwahati,India,U-237,Sharada Venkateshwaran,17-04-2023,Week 16,Guwahati,Show Transaction Details,Highlight,Contracted Services,700001,NS Services,"Sanitation, Polishing and Specialty Cleaning Preparations",EMI,Success,FALSE,335678,Online,Week,Assam,16,448,3,40.32,0,100,1,1.344,1344,3
Not Applicable,Surat,India,U-238,Balamithran Oswal,17-04-2023,Week 16,Surat,Show Transaction Details,No Highlight,Contracted Services,740260,Quality Woodcrafts,Carpentry Contractors,NetBanking,Success,FALSE,214567,Online,Week,Gujarat,16,6380,2,127.6,0,1,1,6.38,6380,1
Master,Delhi,India,U-239,Tulsi Sonawane,16-04-2023,Week 16,Delhi,Show Transaction Details,No Highlight,Contracted Services,753114,Circuit City Electrical,Electrical Contractors,Debit Card,Failure,TRUE,110065,PoS,Week,Delhi,16,3902.5,2,156.1,1,1,0,7.805,7805,2
Not Applicable,Gurgaon,India,U-240,Maialagan Varughese,15-04-2023,Week 15,Gurugram,Show Transaction Details,Highlight,Contracted Services,747767,ShockWave Electric Co.,Electrical Contractors,EMI,Success,FALSE,658633,Online,Week,Haryana,15,1295,3,38.85,0,100,1,1.295,1295,1
Not Applicable,Ujjain,India,U-241,Dalapathi Varty,14-04-2023,Week 15,Ujjain,Show Transaction Details,No Highlight,Utility Services,711203,BlueSky Communications,"Cable, Satellite, and Other Pay Television and Radio Services",NetBanking,Success,FALSE,120966,Online,Week,Madhya Pradesh,15,2622,2,104.88,0,1,1,5.244,5244,2
Diners,Chandigarh,India,U-242,Aathisyan Varkey,14-04-2023,Week 15,Chandigarh,Show Transaction Details,No Highlight,Retail Outlet Services,757606,PipeWorks Co.,Plumbing and Heating Equipment,Credit Card,Success,FALSE,459873,PoS,Week,Chandigarh,15,1346.5,3,80.79,0,1,1,2.693,2693,2
Not Applicable,Chandigarh,India,U-243,Boormithan Bath,03-04-2023,Week 14,Chandigarh,Show Transaction Details,No Highlight,Miscellaneous Stores,712656,ElectroMart,Electronics Sales,UPI,Refunded,FALSE,459874,Online,Week,Chandigarh,14,6961,2,139.22,0,1,0,6.961,6961,1
Not Applicable,Lucknow,India,U-244,Bhanu Varghese,29-03-2023,Week 13,Lucknow,Show Transaction Details,No Highlight,Utility Services,786063,Connect Communications,Telecommunication Equipment Including Telephone Sales,UPI,Success,FALSE,120936,Online,Week,Uttar Pradesh,13,1778.5,2,142.28,0,1,1,7.114,7114,4
Rupay,Delhi,India,U-245,Dharam Khare,28-03-2023,Week 13,Delhi,Show Transaction Details,No Highlight,Utility Services,704238,Velocity Telecom,"Cable, Satellite, and Other Pay Television and Radio Services",Debit Card,Success,FALSE,110063,PoS,Week,Delhi,13,3613.5,2,144.54,0,1,1,7.227,7227,2
Visa,Delhi,India,U-246,Dharamveer Pasupuleti,14-03-2023,Week 11,Delhi,Show Transaction Details,No Highlight,Clothing Stores,745963,The Shoe Company,Shoe Stores,Credit Card,Refunded,FALSE,110066,PoS,Week,Delhi,11,584.75,2,46.78,0,1,0,2.339,2339,4
Not Applicable,Delhi,India,U-247,Baalagopaal Arya,02-03-2023,Week 9,Delhi,Show Transaction Details,No Highlight,Contracted Services,772359,CleanSweep Supplies,"Sanitation, Polishing and Specialty Cleaning Preparations",NetBanking,Refunded,FALSE,110063,Online,Week,Delhi,9,1297.5,2,103.8,0,1,0,5.19,5190,4
Not Applicable,Delhi,India,U-248,Larson Saraswat,26-02-2023,Week 9,Delhi,Show Transaction Details,No Highlight,Miscellaneous Stores,707293,Chef's Choice Catering,Caterers,UPI,Success,FALSE,110006,QR,Week,Delhi,9,5256,2,105.12,0,1,1,5.256,5256,1
Not Applicable,Chennai,India,U-249,Kamali Devan,24-02-2023,Week 8,Chennai,Show Transaction Details,No Highlight,Utility Services,783409,Telecom Traders,Telecommunication Equipment Including Telephone Sales,Wallet,Success,FALSE,769801,Online,Week,Tamil Nadu,8,5739,2,114.78,0,1,1,5.739,5739,1
Not Applicable,Delhi,India,U-250,Deekishand Dhawan,22-02-2023,Week 8,Delhi,Show Transaction Details,No Highlight,Contracted Services,772359,CleanSweep Supplies,"Sanitation, Polishing and Specialty Cleaning Preparations",NetBanking,Success,FALSE,110006,Online,Week,Delhi,8,1430,2,28.6,0,1,1,1.43,1430,1
Not Applicable,Coorg,India,U-251,Gieeta Uppal,21-02-2023,Week 8,Coorg,Show Transaction Details,No Highlight,Transportation Services,796541,Harbor Hopper Rentals,Boat Leases and Boat Rentals,NetBanking,Success,FALSE,561235,Online,Week,Karnataka,8,1235.666667,2,74.14,0,1,1,3.707,3707,3
Not Applicable,Delhi,India,U-252,Harishanan Upadhyay,18-02-2023,Week 7,Delhi,Show Transaction Details,Highlight,Contracted Services,756078,DigiPrint Publishing,Miscellaneous Publishing and Printing,EMI,Success,FALSE,110063,Online,Week,Delhi,7,5622,3,168.66,0,100,1,5.622,5622,1
Not Applicable,Chandigarh,India,U-253,Kathiron Mukhopadhyay,03-02-2023,Week 5,Chandigarh,Show Transaction Details,No Highlight,Agricultural Services,721540,Four Paws Hospital,Veterinary Services,UPI,Success,FALSE,459874,Online,Week,Chandigarh,5,1522.25,2,121.78,0,1,1,6.089,6089,4
Not Applicable,Surat,India,U-254,Abhay Umar,30-01-2023,Week 5,Surat,Show Transaction Details,No Highlight,Government Services,710488,Business Bridge,Intra-Company Purchases,NetBanking,Success,FALSE,214567,Online,Week,Gujarat,5,3520,2,70.4,0,1,1,3.52,3520,1
Not Applicable,Patna,India,U-255,Adharshan Tangirala,19-01-2023,Week 3,Patna,Show Transaction Details,No Highlight,Miscellaneous Stores,707293,Chef's Choice Catering,Caterers,UPI,Partially Refunded,FALSE,145678,QR,Week,Bihar,3,1259.25,2,100.74,0,1,0,5.037,5037,4
Not Applicable,Karnal,India,U-256,Bhoopendra Giri,13-01-2023,Week 2,Karnal,Show Transaction Details,Highlight,Transportation Services,754798,ExpressRailways,Railroads–Freight,EMI,Failure,TRUE,345623,Online,Week,Haryana,2,4363,3,130.89,1,100,0,4.363,4363,1
Not Applicable,Coimbatore,India,U-257,Aayod Barnwal,16-02-2023,Week 7,Coimbatore,Show Transaction Details,No Highlight,Contracted Services,700001,NS Services,"Air Conditioning, Heating and Plumbing Contractors",UPI,Success,FALSE,765412,QR,Week,Tamil Nadu,7,1273.666667,2,76.42,0,1,1,3.821,3821,3
Diners,Mathura,India,U-258,Jasraj Tomar,10-02-2023,Week 6,Mathura,Show Transaction Details,No Highlight,Contracted Services,700001,NS Services,"Air Conditioning, Heating and Plumbing Contractors",Credit Card,Success,FALSE,179034,PoS,Week,Uttar Pradesh,6,1847.5,3,221.7,0,1,1,7.39,7390,4
Not Applicable,Surat,India,U-259,Kiru Dhillon,01-04-2023,Week 13,Surat,Show Transaction Details,No Highlight,Contracted Services,700001,NS Services,"Sanitation, Polishing and Specialty Cleaning Preparations",NetBanking,Success,FALSE,214567,Online,Week,Gujarat,13,1188.333333,2,71.3,0,1,1,3.565,3565,3
Not Applicable,Visakhapatnam,India,U-260,Jonty Krishna,18-04-2023,Week 16,Visakhapatnam,Show Transaction Details,No Highlight,Utility Services,786063,Connect Communications,Telecommunication Equipment Including Telephone Sales,UPI,Success,FALSE,786543,QR,Week,Andhra Pradesh,16,2517.333333,2,151.04,0,1,1,7.552,7552,3
Not Applicable,Lucknow,India,U-261,Haarshan Tidke,18-04-2023,Week 16,Lucknow,Show Transaction Details,No Highlight,Transportation Services,764665,Aqua Adventures Boat Rentals,Boat Leases and Boat Rentals,UPI,Success,FALSE,120936,QR,Week,Uttar Pradesh,16,5177,2,103.54,0,1,1,5.177,5177,1
Visa,Guwahati,India,U-262,Uma Narain,11-04-2023,Week 15,Guwahati,Show Transaction Details,No Highlight,Agricultural Services,704871,Green Acres Cooperative,Agricultural Cooperatives,Debit Card,Success,FALSE,335678,PoS,Week,Assam,15,441.25,2,35.3,0,1,1,1.765,1765,4
Not Applicable,Patna,India,U-263,Prashant Rausa,10-04-2023,Week 15,Patna,Show Transaction Details,No Highlight,Miscellaneous Stores,707293,Chef's Choice Catering,Caterers,UPI,Partially Refunded,FALSE,145678,QR,Week,Bihar,15,3715,2,74.3,0,1,0,3.715,3715,1
Master,Delhi,India,U-264,Buddha Thakor,10-04-2023,Week 15,Delhi,Show Transaction Details,No Highlight,Miscellaneous Stores,788186,Digital Dreams,Electronics Sales,Debit Card,Failure,TRUE,110065,PoS,Week,Delhi,15,4734,2,94.68,1,1,0,4.734,4734,1
Not Applicable,Chandigarh,India,U-265,Bharati Hanul,09-04-2023,Week 15,Chandigarh,Show Transaction Details,No Highlight,Utility Services,786063,Connect Communications,Telecommunication Equipment Including Telephone Sales,Wallet,Success,FALSE,459870,QR,Week,Chandigarh,15,824,2,65.92,0,1,1,3.296,3296,4
Not Applicable,Chandigarh,India,U-266,Lakshman Maddipatla,04-04-2023,Week 14,Chandigarh,Show Transaction Details,No Highlight,Miscellaneous Stores,740136,Culinary Concepts Catering,Caterers,NetBanking,Success,FALSE,459872,Online,Week,Chandigarh,14,364,2,29.12,0,1,1,1.456,1456,4
Not Applicable,Mathura,India,U-267,Arjunnen Vasa,03-04-2023,Week 14,Mathura,Show Transaction Details,No Highlight,Government Services,763476,PurchasePilot Inc.,I-Purchasing Pilot,NetBanking,Success,FALSE,179034,Online,Week,Uttar Pradesh,14,2864,2,114.56,0,1,1,5.728,5728,2
Not Applicable,Nalanda,India,U-268,Santos Kishor,23-03-2023,Week 12,Nalanda,Show Transaction Details,No Highlight,Contracted Services,795070,Voltage Valley Electrical,Electrical Contractors,NetBanking,Success,FALSE,148790,Online,Week,Bihar,12,1211.5,2,96.92,0,1,1,4.846,4846,4
Not Applicable,Delhi,India,U-269,Ilandevan Sathe,07-03-2023,Week 10,Delhi,Show Transaction Details,Highlight,Miscellaneous Stores,712656,ElectroMart,Electronics Sales,EMI,Success,FALSE,110066,Online,Week,Delhi,10,549.75,3,65.97,0,100,1,2.199,2199,4
Visa,Lucknow,India,U-270,Eegaiarasan Tripathi,02-03-2023,Week 9,Lucknow,Show Transaction Details,No Highlight,Retail Outlet Services,752351,WaterWorks Supplies,Plumbing and Heating Equipment,Debit Card,Success,FALSE,120936,Pos,Week,Uttar Pradesh,9,2366,2,141.96,0,1,1,7.098,7098,3
Not Applicable,Delhi,India,U-271,Anukragan Khaliq,21-02-2023,Week 8,Delhi,Show Transaction Details,No Highlight,Utility Services,711203,BlueSky Communications,"Cable, Satellite, and Other Pay Television and Radio Services",UPI,Success,FALSE,110006,QR,Week,Delhi,8,6405,2,128.1,0,1,1,6.405,6405,1
Not Applicable,Karnal,India,U-272,Jugaansan Tata,17-02-2023,Week 7,Karnal,Show Transaction Details,No Highlight,Contracted Services,734853,Woodworks Unlimited,Carpentry Contractors,NetBanking,Success,FALSE,345623,Online,Week,Haryana,7,2552,2,102.08,0,1,1,5.104,5104,2
Visa,Delhi,India,U-273,Sheela Mistry,16-02-2023,Week 7,Delhi,Show Transaction Details,No Highlight,Contracted Services,730095,Reliable Air Conditioning Co.,"Air Conditioning, Heating and Plumbing Contractors",Debit Card,Refunded,FALSE,110066,PoS,Week,Delhi,7,1568,2,94.08,0,1,0,4.704,4704,3
Visa,Bhopal,India,U-274,Aadithyavarman Baliga,14-02-2023,Week 7,Rajgarh,Show Transaction Details,No Highlight,Contracted Services,764884,Plumbing Wizards Inc.,"Air Conditioning, Heating and Plumbing Contractors",Debit Card,Success,FALSE,679124,Online,Week,Madhya Pradesh,7,1426.5,2,57.06,0,1,1,2.853,2853,2
Not Applicable,Agra,India,U-275,Jyothiranjan Tanu,10-02-2023,Week 6,Agra,Show Transaction Details,No Highlight,Contracted Services,764884,Plumbing Wizards Inc.,"Air Conditioning, Heating and Plumbing Contractors",NetBanking,Success,FALSE,348062,Online,Week,Uttar Pradesh,6,2075.666667,2,124.54,0,1,1,6.227,6227,3
Not Applicable,Vijaywada,India,U-276,Ananay Devi,01-02-2023,Week 5,Vijaywada,Show Transaction Details,Highlight,Transportation Services,796541,Harbor Hopper Rentals,Boat Leases and Boat Rentals,EMI,Refunded,FALSE,785412,Online,Week,Andhra Pradesh,5,2294.333333,3,206.49,0,100,0,6.883,6883,3
Master,Chandigarh,India,U-277,Hassan Tank,31-01-2023,Week 5,Chandigarh,Show Transaction Details,No Highlight,Miscellaneous Stores,786117,Elite Household,Household Appliance Stores,Debit Card,Success,FALSE,459874,Online,Week,Chandigarh,5,1188.5,2,47.54,0,1,1,2.377,2377,2
